annotator,winner,loser,time
9b8e6aaa964cf9c6,1b7b37141490f8c0,6d3fc6ef19fdc128,2015-09-20 15:42:15.199399
5473c504b920a5c3,2fa26e875c7ed590,fcdc5c6575c7dd66,2015-09-20 15:42:26.653969
357d867d1d0ddc0b,8eec936c243bae81,e45980ffaf976717,2015-09-20 15:42:27.455112
41b8a2c90793f4ef,771d79f1b6dcec5b,9fc9f31c85fa35d1,2015-09-20 15:42:31.043872
3328ff8e46a4593e,ade653adda91b17f,bdf35bb493dc82db,2015-09-20 15:42:31.285195
6bed004aecc52dcd,bdf35bb493dc82db,059fb328bd9a7106,2015-09-20 15:42:33.614653
d6626cc9aac554b0,fe90015240e9661c,51f465fe789ceffb,2015-09-20 15:42:37.225793
951d9f9c5bb15b2a,78023ab2d0c2de88,1b7b37141490f8c0,2015-09-20 15:42:41.981719
929e602b19f17b04,199799cf26a89281,dbc353fca44ddc63,2015-09-20 15:42:43.469236
6aa00b71b4e5cada,9fc9f31c85fa35d1,bc7f4dc06903be04,2015-09-20 15:42:44.537294
08d163f66594422c,6bf7141ccba5b052,11aae39c4c2ffe00,2015-09-20 15:42:45.429896
47740adacb600d62,cceca15bb4e5299a,72fb46824e112bc9,2015-09-20 15:42:46.560819
10d0244d8b52b675,25bc0d88eb5af31c,c22b9bda505b5749,2015-09-20 15:42:47.714033
08d163f66594422c,99dffb09c13f5a75,6bf7141ccba5b052,2015-09-20 15:42:49.17768
efc06b69407e7598,25761e9c5cdbbac5,0f1aa4a556467be8,2015-09-20 15:42:50.353789
c12db01abb120c24,bc7a2c36804fd23b,d82db8b6eb5fcb68,2015-09-20 15:42:53.119299
9e3409cbe073ecec,89db5036fdd264f9,de9aac5434afd570,2015-09-20 15:42:56.419195
0d99d9a5d48dc375,ba843f464a043570,37836a40aecc7b80,2015-09-20 15:42:56.822852
f0acd6685c29da7c,75e35522860c1e28,d6f482b02785441b,2015-09-20 15:42:58.797759
7427de5ab19c2343,89db5036fdd264f9,bc7f4dc06903be04,2015-09-20 15:43:01.948705
476c030a96fa8439,1efba56c1e077108,0844adab2e650e07,2015-09-20 15:43:08.775267
b9798f718dba307d,d474540874b4c1e2,99dffb09c13f5a75,2015-09-20 15:43:12.092328
cc248de9e0cf98dd,a51e406f8f84ab2e,6560f6423793040a,2015-09-20 15:43:14.808847
a6b24bd22377601a,2fa26e875c7ed590,72fb46824e112bc9,2015-09-20 15:43:27.011857
951d9f9c5bb15b2a,f670669770bff11f,78023ab2d0c2de88,2015-09-20 15:43:30.173669
29563bf3326794c3,3308f4fbd3300fbf,456a1a87154a2c55,2015-09-20 15:43:30.659703
57818d4e8d931535,89db5036fdd264f9,cceca15bb4e5299a,2015-09-20 15:43:33.680387
b6e89c05f85245c9,fcdc5c6575c7dd66,9fc9f31c85fa35d1,2015-09-20 15:43:44.749006
0a3455c6876d6949,0541226c22da3aab,25bc0d88eb5af31c,2015-09-20 15:43:44.863404
